text,label
Your password expires today. Login immediately 367,1
Please review the attached document 197,0
Meeting scheduled tomorrow at 10 AM 458,0
Reminder: submit assignment 964,0
Your password expires today. Login immediately 335,1
Reminder: submit assignment 258,0
Reminder: submit assignment 454,0
Meeting scheduled tomorrow at 10 AM 233,0
Let's catch up this weekend 980,0
Security alert! Login required 121,1
Security alert! Login required 612,1
Happy birthday! Have a great day 755,0
Click this link to secure your account 968,1
Invoice attached for your purchase 970,0
Update your payment information now 737,1
Please review the attached document 576,0
Meeting scheduled tomorrow at 10 AM 315,0
Happy birthday! Have a great day 630,0
Update your payment information now 395,1
Please review the attached document 889,0
Your account will be blocked. Act now 620,1
Meeting scheduled tomorrow at 10 AM 414,0
Unusual activity detected. Confirm immediately 672,1
Your account will be blocked. Act now 812,1
Verify your bank details to avoid suspension 783,1
Unusual activity detected. Confirm immediately 641,1
Project meeting next week 417,0
Your order has been delivered 678,0
Click this link to secure your account 971,1
Happy birthday! Have a great day 854,0
Invoice attached for your purchase 203,0
Your order has been delivered 596,0
Happy birthday! Have a great day 638,0
Unusual activity detected. Confirm immediately 569,1
Team meeting rescheduled 548,0
Update your payment information now 637,1
Urgent! Your account has been suspended. Click here to verify now 178,1
Lunch plan today? 640,0
Click this link to secure your account 687,1
Team meeting rescheduled 553,0
Update your payment information now 333,1
Lunch plan today? 268,0
You have received a reward. Click to claim 158,1
Project meeting next week 175,0
Your password expires today. Login immediately 901,1
Meeting scheduled tomorrow at 10 AM 927,0
You have received a reward. Click to claim 209,1
Security alert! Login required 259,1
Update your payment information now 607,1
Your order has been delivered 120,0
Lunch plan today? 170,0
Please review the attached document 829,0
Meeting scheduled tomorrow at 10 AM 481,0
Project meeting next week 431,0
Unusual activity detected. Confirm immediately 503,1
Happy birthday! Have a great day 101,0
Security alert! Login required 495,1
Congratulations! You won a prize. Claim now 761,1
Let's catch up this weekend 428,0
Your account will be blocked. Act now 856,1
Your order has been delivered 728,0
Verify your bank details to avoid suspension 560,1
Your account will be blocked. Act now 479,1
Update your payment information now 214,1
Your password expires today. Login immediately 258,1
Your password expires today. Login immediately 159,1
Let's catch up this weekend 887,0
Let's catch up this weekend 210,0
Team meeting rescheduled 588,0
Urgent! Your account has been suspended. Click here to verify now 342,1
Please review the attached document 271,0
Security alert! Login required 170,1
Urgent! Your account has been suspended. Click here to verify now 847,1
Your password expires today. Login immediately 466,1
Your order has been delivered 747,0
Reminder: submit assignment 517,0
Security alert! Login required 998,1
Urgent! Your account has been suspended. Click here to verify now 384,1
Urgent! Your account has been suspended. Click here to verify now 164,1
Your order has been delivered 499,0
Please review the attached document 691,0
Let's catch up this weekend 257,0
Reminder: submit assignment 496,0
Team meeting rescheduled 407,0
Your password expires today. Login immediately 497,1
Unusual activity detected. Confirm immediately 322,1
Your password expires today. Login immediately 644,1
Update your payment information now 464,1
Your order has been delivered 911,0
Unusual activity detected. Confirm immediately 538,1
Team meeting rescheduled 551,0
You have received a reward. Click to claim 720,1
Team meeting rescheduled 176,0
Unusual activity detected. Confirm immediately 647,1
Happy birthday! Have a great day 117,0
Congratulations! You won a prize. Claim now 660,1
You have received a reward. Click to claim 767,1
You have received a reward. Click to claim 296,1
Update your payment information now 299,1
Congratulations! You won a prize. Claim now 410,1
Reminder: submit assignment 332,0
Project meeting next week 510,0
Lunch plan today? 775,0
Verify your bank details to avoid suspension 165,1
Urgent! Your account has been suspended. Click here to verify now 830,1
Your account will be blocked. Act now 690,1
Meeting scheduled tomorrow at 10 AM 953,0
Project meeting next week 331,0
Update your payment information now 607,1
You have received a reward. Click to claim 727,1
Please review the attached document 263,0
Verify your bank details to avoid suspension 347,1
Your password expires today. Login immediately 655,1
Update your payment information now 446,1
Invoice attached for your purchase 207,0
Invoice attached for your purchase 618,0
Lunch plan today? 385,0
Your account will be blocked. Act now 569,1
Lunch plan today? 222,0
Let's catch up this weekend 725,0
Unusual activity detected. Confirm immediately 523,1
Your password expires today. Login immediately 743,1
Urgent! Your account has been suspended. Click here to verify now 697,1
Reminder: submit assignment 962,0
Meeting scheduled tomorrow at 10 AM 329,0
Your order has been delivered 641,0
Please review the attached document 316,0
Update your payment information now 813,1
Click this link to secure your account 273,1
Verify your bank details to avoid suspension 428,1
Team meeting rescheduled 937,0
Urgent! Your account has been suspended. Click here to verify now 397,1
Congratulations! You won a prize. Claim now 714,1
Update your payment information now 120,1
Team meeting rescheduled 627,0
Update your payment information now 853,1
Your order has been delivered 781,0
Let's catch up this weekend 799,0
Your order has been delivered 240,0
Update your payment information now 396,1
Lunch plan today? 198,0
Happy birthday! Have a great day 220,0
Let's catch up this weekend 992,0
Team meeting rescheduled 665,0
Team meeting rescheduled 666,0
Security alert! Login required 955,1
Your password expires today. Login immediately 620,1
Lunch plan today? 392,0
Team meeting rescheduled 978,0
Urgent! Your account has been suspended. Click here to verify now 852,1
Happy birthday! Have a great day 393,0
Click this link to secure your account 842,1
Update your payment information now 503,1
Your order has been delivered 742,0
Let's catch up this weekend 246,0
Security alert! Login required 402,1
Urgent! Your account has been suspended. Click here to verify now 591,1
Let's catch up this weekend 713,0
Urgent! Your account has been suspended. Click here to verify now 912,1
Your password expires today. Login immediately 587,1
Security alert! Login required 900,1
Let's catch up this weekend 862,0
Lunch plan today? 685,0
Urgent! Your account has been suspended. Click here to verify now 886,1
Your account will be blocked. Act now 201,1
Your order has been delivered 726,0
Urgent! Your account has been suspended. Click here to verify now 804,1
Reminder: submit assignment 981,0
Urgent! Your account has been suspended. Click here to verify now 825,1
Project meeting next week 862,0
Reminder: submit assignment 240,0
Congratulations! You won a prize. Claim now 910,1
Let's catch up this weekend 848,0
Update your payment information now 755,1
Project meeting next week 616,0
Let's catch up this weekend 639,0
Meeting scheduled tomorrow at 10 AM 333,0
Update your payment information now 395,1
Meeting scheduled tomorrow at 10 AM 330,0
Security alert! Login required 591,1
Your order has been delivered 322,0
Congratulations! You won a prize. Claim now 479,1
Security alert! Login required 801,1
Lunch plan today? 409,0
Unusual activity detected. Confirm immediately 182,1
Congratulations! You won a prize. Claim now 481,1
Urgent! Your account has been suspended. Click here to verify now 896,1
Your password expires today. Login immediately 700,1
Project meeting next week 812,0
Your order has been delivered 279,0
Update your payment information now 594,1
Congratulations! You won a prize. Claim now 662,1
Update your payment information now 229,1
Update your payment information now 197,1
Your password expires today. Login immediately 696,1
Happy birthday! Have a great day 843,0
Security alert! Login required 820,1
Your account will be blocked. Act now 731,1
Lunch plan today? 706,0
Your order has been delivered 539,0
Security alert! Login required 882,1
Your account will be blocked. Act now 886,1
Security alert! Login required 425,1
Lunch plan today? 674,0
Urgent! Your account has been suspended. Click here to verify now 941,1
You have received a reward. Click to claim 859,1
Your account will be blocked. Act now 908,1
Team meeting rescheduled 906,0
Urgent! Your account has been suspended. Click here to verify now 750,1
Unusual activity detected. Confirm immediately 859,1
Invoice attached for your purchase 530,0
Verify your bank details to avoid suspension 277,1
Update your payment information now 699,1
Meeting scheduled tomorrow at 10 AM 347,0
Lunch plan today? 103,0
Verify your bank details to avoid suspension 887,1
Click this link to secure your account 504,1
Lunch plan today? 913,0
Lunch plan today? 100,0
Security alert! Login required 823,1
Verify your bank details to avoid suspension 543,1
Lunch plan today? 490,0
You have received a reward. Click to claim 467,1
Invoice attached for your purchase 348,0
Meeting scheduled tomorrow at 10 AM 470,0
Congratulations! You won a prize. Claim now 887,1
Your password expires today. Login immediately 156,1
Lunch plan today? 566,0
Lunch plan today? 903,0
Security alert! Login required 346,1
Invoice attached for your purchase 835,0
Please review the attached document 953,0
Congratulations! You won a prize. Claim now 912,1
Your order has been delivered 922,0
Update your payment information now 669,1
Unusual activity detected. Confirm immediately 760,1
Your password expires today. Login immediately 976,1
Project meeting next week 848,0
Urgent! Your account has been suspended. Click here to verify now 627,1
Click this link to secure your account 807,1
Click this link to secure your account 684,1
Your password expires today. Login immediately 399,1
Reminder: submit assignment 526,0
Team meeting rescheduled 663,0
Urgent! Your account has been suspended. Click here to verify now 183,1
Team meeting rescheduled 531,0
Team meeting rescheduled 132,0
You have received a reward. Click to claim 582,1
Reminder: submit assignment 499,0
Verify your bank details to avoid suspension 617,1
Please review the attached document 943,0
Team meeting rescheduled 645,0
Team meeting rescheduled 416,0
Project meeting next week 780,0
Lunch plan today? 658,0
Congratulations! You won a prize. Claim now 330,1
Verify your bank details to avoid suspension 885,1
You have received a reward. Click to claim 447,1
Meeting scheduled tomorrow at 10 AM 667,0
Invoice attached for your purchase 301,0
Update your payment information now 635,1
Invoice attached for your purchase 255,0
Invoice attached for your purchase 323,0
Your password expires today. Login immediately 400,1
Please review the attached document 530,0
Invoice attached for your purchase 989,0
Invoice attached for your purchase 949,0
Project meeting next week 765,0
Click this link to secure your account 332,1
Happy birthday! Have a great day 869,0
You have received a reward. Click to claim 395,1
Project meeting next week 253,0
Security alert! Login required 477,1
Your account will be blocked. Act now 401,1
You have received a reward. Click to claim 924,1
Security alert! Login required 136,1
Security alert! Login required 711,1
You have received a reward. Click to claim 431,1
Lunch plan today? 955,0
Your password expires today. Login immediately 620,1
Your order has been delivered 545,0
Click this link to secure your account 108,1
Click this link to secure your account 597,1
Happy birthday! Have a great day 636,0
Your order has been delivered 274,0
Meeting scheduled tomorrow at 10 AM 323,0
Happy birthday! Have a great day 343,0
Team meeting rescheduled 473,0
Click this link to secure your account 557,1
Unusual activity detected. Confirm immediately 678,1
Click this link to secure your account 238,1
Update your payment information now 685,1
Project meeting next week 892,0
You have received a reward. Click to claim 336,1
Project meeting next week 600,0
Happy birthday! Have a great day 674,0
Team meeting rescheduled 618,0
Urgent! Your account has been suspended. Click here to verify now 236,1
Project meeting next week 473,0
Click this link to secure your account 314,1
Security alert! Login required 788,1
Invoice attached for your purchase 514,0
Lunch plan today? 315,0
Security alert! Login required 866,1
Unusual activity detected. Confirm immediately 616,1
Your account will be blocked. Act now 112,1
Team meeting rescheduled 294,0
Please review the attached document 792,0
Urgent! Your account has been suspended. Click here to verify now 733,1
Let's catch up this weekend 151,0
Team meeting rescheduled 808,0
Your order has been delivered 580,0
Lunch plan today? 522,0
Team meeting rescheduled 628,0
Reminder: submit assignment 960,0
Lunch plan today? 376,0
Happy birthday! Have a great day 379,0
Update your payment information now 344,1
Your account will be blocked. Act now 180,1
Team meeting rescheduled 738,0
Meeting scheduled tomorrow at 10 AM 188,0
Your password expires today. Login immediately 537,1
Your order has been delivered 871,0
Project meeting next week 297,0
Meeting scheduled tomorrow at 10 AM 410,0
Invoice attached for your purchase 184,0
Your password expires today. Login immediately 552,1
Project meeting next week 720,0
Unusual activity detected. Confirm immediately 417,1
Let's catch up this weekend 977,0
Your account will be blocked. Act now 755,1
Invoice attached for your purchase 373,0
Meeting scheduled tomorrow at 10 AM 833,0
Update your payment information now 501,1
Unusual activity detected. Confirm immediately 796,1
Invoice attached for your purchase 688,0
Meeting scheduled tomorrow at 10 AM 758,0
Your account will be blocked. Act now 887,1
Urgent! Your account has been suspended. Click here to verify now 708,1
Verify your bank details to avoid suspension 698,1
Your password expires today. Login immediately 883,1
Your password expires today. Login immediately 275,1
Update your payment information now 889,1
Security alert! Login required 134,1
